"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @CarefreeDailyFC: Thibaut Courtois is the first ever keeper to win the Golden Glove award in:

La Liga
Premier League
Champions League
W…",FALSE,0,NA,2018-07-15 23:59:59,FALSE,NA,"1018646391416086529",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","OmarBolaji",372,TRUE,FALSE,NA,NA
"RT @FootyAccums: Raphael Varane has won FOUR Champions League titles &amp; now the World Cup at the age of 25.

May as well just call it a day,…",FALSE,0,NA,2018-07-15 23:59:59,FALSE,NA,"1018646391248343041",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Tee_S4",752,TRUE,FALSE,NA,NA
"RT @transnotitia: ""...a fake good [winning a World Cup] to mask a real evil [social engineering of identitarian mimetic rivalries].”  https…",FALSE,0,NA,2018-07-15 23:59:59,FALSE,NA,"1018646391130750976",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DerorCurrency",2,TRUE,FALSE,NA,NA
"RT @HolyroodLiam: The most iconic image of the World Cup - France's Kylian Mbappé high fiving a member of Pussy Riot after she broke onto t…",FALSE,0,NA,2018-07-15 23:59:59,FALSE,NA,"1018646390312980481",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","sugarwthaf",36547,TRUE,FALSE,NA,NA
"my sleep schedule is ruined but that was a very fun World Cup <U+0001F642>",FALSE,2,NA,2018-07-15 23:59:59,FALSE,NA,"1018646389935386625",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","AstroDouche",0,FALSE,FALSE,NA,NA
"RT @nikkihaley: Congrats to our French friends for an awesome win today. What will we all do now that the World Cup is over? Bring on the c…",FALSE,0,NA,2018-07-15 23:59:59,FALSE,NA,"1018646389063127042",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","swanson_real",581,TRUE,FALSE,NA,NA
"RT @MohammadKaif: Croatia deserves a lot of credit for making the final against all odds &amp; played great football, showed amazing spirit and…",FALSE,0,NA,2018-07-15 23:59:59,FALSE,NA,"1018646388815613952",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","OBIZUOGU",440,TRUE,FALSE,NA,NA
"RT @KristenClarkeJD: Boom! France wins World Cup w/ one of most diverse and multiethnic rosters of any national team in any sport. 

16 of…",FALSE,0,NA,2018-07-15 23:59:59,FALSE,NA,"1018646388777914370",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ficklin",58,TRUE,FALSE,NA,NA
"RT @PainterNell: This title says everything--it's the boys from the ghetto. France has something--many things--to teach the USA. ""Kylian Mb…",FALSE,0,NA,2018-07-15 23:59:59,FALSE,NA,"1018646388777914368",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Prof_Kennedy",5,TRUE,FALSE,NA,NA
"RT @TheNotoriousMMA: Enjoying the World Cup final in Russia. 
A truly amazing spectacle! https://t.co/OEeOBmEp9y",FALSE,0,NA,2018-07-15 23:59:59,FALSE,NA,"1018646388647788544",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JoshuaaRdz_",14174,TRUE,FALSE,NA,NA
"RT @EXOVotingTeam: OMG Thankyou so much @FIFAWorldCup for this amazing opportunity!<U+0001F389> 
Finally 'POWER' was played at Final World Cup France…",FALSE,0,NA,2018-07-15 23:59:59,FALSE,NA,"1018646388593192960",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","army_megan",2126,TRUE,FALSE,NA,NA
"RT @tonetalk: The bravery of #PussyRiot is so inspirational. They deserve our support, respect and deep admiration. This has been a great w…",FALSE,0,NA,2018-07-15 23:59:59,FALSE,NA,"1018646388345696256",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","fieldfare123",97,TRUE,FALSE,NA,NA
"Griezmann is 27 and doing fortnite dances for a celebration. Pogba is 25 and dabbing. World Cup 2018 baby.",FALSE,3,NA,2018-07-15 23:59:59,FALSE,NA,"1018646388043894784",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","GansLFC",0,FALSE,FALSE,NA,NA
"RT @FutbolWorId: BREAKING: Violence and riots have erupted in Paris following World Cup celebrations. 
Armed forces have been deployed but…",FALSE,0,NA,2018-07-15 23:59:59,FALSE,NA,"1018646387720970241",NA,"<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>","Anba_LenU2B",538,TRUE,FALSE,NA,NA
"RT @NewYorker: Pussy Riot, by taking the field at the World Cup final, demonstrated exactly how intervention, rule-breaking, and destructio…",FALSE,0,NA,2018-07-15 23:59:58,FALSE,NA,"1018646387154608128",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","tetepmuda",771,TRUE,FALSE,NA,NA
"RT @Sport__WAGs: World Cup - we’ll miss you. <U+0001F60D> https://t.co/9u6wADF65g",FALSE,0,NA,2018-07-15 23:59:58,FALSE,NA,"1018646387079065600",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Latumeten18",2402,TRUE,FALSE,NA,NA
"RT @KhaledBeydoun: Dear France, 

Congratulations on winning the #WorldCup. 

80% of your team is African, cut out the racism and xenophobi…",FALSE,0,NA,2018-07-15 23:59:58,FALSE,NA,"1018646386802380800",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DanielSteiger5",204723,TRUE,FALSE,NA,NA
"RT @GFFN: There is the suggestion tonight from several sources that during the on-pitch trophy celebrations, Steven N'Zonzi had to ask cert…",FALSE,0,NA,2018-07-15 23:59:58,FALSE,NA,"1018646386701668353",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","FARAH_LDN",9170,TRUE,FALSE,NA,NA
"RT @brfootball: Best World Cup ever. https://t.co/kJTZ7BW0Km",FALSE,0,NA,2018-07-15 23:59:58,FALSE,NA,"1018646386441670658",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","allejodasilva",10316,TRUE,FALSE,NA,NA
"RT @JamesMelville: Hats off to Kolinda Grabar-Kitarovic, President of Croatia. She attended every Croatia match at the World Cup, travelled…",FALSE,0,NA,2018-07-15 23:59:58,FALSE,NA,"1018646386340913152",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","NaomiSask",17987,TRUE,FALSE,NA,NA
"RT @bts_worIdwide: FAKE LOVE by @BTS_twt’s played at the World Cup Final <U+2665><U+FE0F>
 https://t.co/H8XRewSgEK",FALSE,0,NA,2018-07-15 23:59:58,FALSE,NA,"1018646386223566850",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Kookies_Girl_X",7500,TRUE,FALSE,NA,NA
"RT @KhaledBeydoun: Dear France, 

Congratulations on winning the #WorldCup. 

80% of your team is African, cut out the racism and xenophobi…",FALSE,0,NA,2018-07-15 23:59:58,FALSE,NA,"1018646386076798976",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","annierock21",204723,TRUE,FALSE,NA,NA
